file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0943_0043_255508_to_264396,རང་ཡག་ཉེས་སུ་ཡིན་པཱ། ལིས་མིང་གིས་རང་ནོར་བུར་བརྩི་ཡ་དེ་འདྲས་དངོས་གནས་ལས་སླ་པོ་མ་རེད་ད། རང་ལ་ཇུས་གཏོགས་ག་རེ་འདུག ,rang yag nyes su yin pA/_lis ming gis rang nor bur brtsi ya de 'dras dngos gnas las sla po ma red da/_rang la jus gtogs ga re 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0943_0043_255508_to_264396.wav,STT_MV,3,111,8.888,wav16k/STT_MV0943_0043_255508_to_264396.wav,རང་ཡང་སྙིང་སུ་ཡིན་པ། ལིས་མིང་གིས་རང་ནོར་བུ་བརྩི་ཡ་དེ་འདྲས་དངོས་གནས་ལས་སླ་པོ་མ་རེད་ད། རང་ལ་ཇུས་གཏོགས་ག་རེ་འདུག
STT_PC0166_0119_870263_to_872759,དེ་གཞུག་གུ་ག་འདྲས་འདྲ་བྱས་ཡོད་ན། གཅིག་བྱས་ན་འདི་འདྲས་བེད་སྤྱོད་བཏང་ཡོད་ཀྱི་རེད།  ,de gzhug gu ga 'dras 'dra byas yod na/_gcig byas na 'di 'dras bed spyod btang yod kyi red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0166_0119_870263_to_872759.wav,STT_PC,3,81,2.496,wav16k/STT_PC0166_0119_870263_to_872759.wav,དེ་གཞུག་གུ་ག་འདྲས་འདྲ་བྱས་ཡོད་ན། གཅིག་བྱས་ན་དེ་འདྲས་བེད་སྤྱོད་བཏང་ཡོད་ཀྱི་རེད།
STT_PC0166_0120_873762_to_877977,དེ་ཕལ་ཆེར་དཀའ་ལས་ཁག་པོ་མིན་འགྲོ། དེའི་གཞུག་གུ་དེ་ལ་གེ་གོ་ཡ་མི་འདུག གཅིག་བྱས་ན་དགའ་རོགས་ ,de phal cher dka' las khag po min 'gro/_de'i gzhug gu de la ge go ya mi 'dug_gcig byas na dga' rogs _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0166_0120_873762_to_877977.wav,STT_PC,3,88,4.215,wav16k/STT_PC0166_0120_873762_to_877977.wav,དེ་ཕལ་ཆེར་དཀའ་ལས་ཁག་པོ་མིན་འགྲོ། དེ་གཞུག་གུ་དེ་ལ་གེ་གོ་ཡ་མི་འདུག གཅིག་བྱས་ན་དགའ་རོགས།
STT_PC0166_0122_896135_to_898247,ད་ཁྱེད་རང་ལོ་བཞི་བཅུ་ལྔ་བཅུ་ཡར་སླེབས་ཡོང་དུས་ཙམ་པ་ལ་ཡ།  ,da khyed rang lo bzhi bcu lnga bcu yar slebs yong dus tsam pa la ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0166_0122_896135_to_898247.wav,STT_PC,3,56,2.112,wav16k/STT_PC0166_0122_896135_to_898247.wav,ད་ཁྱེད་རང་ལོ་བཞི་བཅུ་ལྔ་བཅུ་ཡར་སླེབས་ཡོང་དུས་ཙམ་པ་ལ་ཡ།
STT_PC0166_0100_729458_to_733906,དེ་འདྲས་ཅིག་བྱས་བྱས། ད་དུང་ང་ལ་ཡ་ཁ་ལག་ཞིམ་པོ་ཅིག་ཟ་དགོས་ཡོད་ཟེར་ལབ་ན། ཨ་ལེ་སྔན་ལ་ཁྱེད་རང་ཁ་ལག་ཞིམ་པོ་ཅིག་ཟ་ཡ་དེ་ལ་ཡ་ཨེ་ནས།  ,de 'dras cig byas byas/_da dung nga la ya kha lag zhim po cig za dgos yod zer lab na/_a le sngan la khyed rang kha lag zhim po cig za ya de la ya e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0166_0100_729458_to_733906.wav,STT_PC,3,124,4.448,wav16k/STT_PC0166_0100_729458_to_733906.wav,དེ་འདྲས་ཅིག་བྱས་བྱས། ད་དུང་ང་ལ་ཡ་ཁ་ལག་ཞིམ་པོ་ཅིག་ཟ་དགོས་ཡོད་ཟེ་ལབ་ན། ཨ་ལེ་སྔན་ལ་ཁྱེད་རང་ཁ་ལག་ཞིམ་པོ་ཅིག་ཟ་ཡ་དེ་ལ་ཡ་ཨེ་ནས།
STT_PC0166_0102_738745_to_744445,དྲག་པ་སོར་མ་དགུ་བྱས་པ། ལྕེ་ལེ་འཕྲོ་བརླག་ཕྱིན་ཚར་ན་ཁ་ལག་ཞིམ་པོ་ཅིག་ག་བ་ོཟ་ཐུབ་ཀི་རེད་དེ། ཁ་ལག་ཞིམ་པོ་ཡོང་ནས་ཡོང་གི་མ་རེད་བ།  ,drag pa sor ma dgu byas pa/_lce le 'phro brlag phyin tshar na kha lag zhim po cig ga ba \u0f7cza thub ki red de/_kha lag zhim po yong nas yong gi ma red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0166_0102_738745_to_744445.wav,STT_PC,3,124,5.7,wav16k/STT_PC0166_0102_738745_to_744445.wav,གྲག་པ་སོར་མོ་དགུ་ཆགས། ལྕེ་ལེ་འཕྲོ་བརླག་ཕྱིན་ཚར་ན། ཁ་ལག་ཞིམ་པོ་ཅིག་ག་བ་ཟ་ཐུབ་ཀི་རེད་དེ། ཁ་ལག་ཞིམ་པོ་ཡོང་ན་ཡོང་གི་མ་རེད་བ།
STT_NS_M0001_0062_450210_to_457495,སྙིང་རྗེ་དངོས་ནས་ཁོ་རང་རེད་འདུག་རཱ། ང་ཚོ་འཁྲུངས་སྐར་དང་ག་འདྲའི་འགྲོ་ན་ཡོད་བ་མི་འདི་གཙོ་བོ་ད་འདི་རེད་འདུག་རཱ། ད་མི་དེ་གིས་དུག་སློག་ཡག་ལོད་གོན་ ,snying rje dngos nas kho rang red 'dug rA/_nga tsho 'khrungs skar dang ga 'dra'i 'gro na yod ba mi 'di gtso bo da 'di red 'dug rA/_da mi de gis dug slog yag lod gon _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0001_0062_450210_to_457495.wav,STT_NS,3,142,7.285,wav16k/STT_NS_M0001_0062_450210_to_457495.wav,སྙིང་རྗེ་དངོས་གནས་ཁོ་རང་རེད་འདུག་ར ང་ཚོ་འཁྲུངས་སྐར་དང་ག་འདྲ་འགྲོ་ན་ཡ་ད་བ་མི་འདི་གཙོ་བོ་ད་འདི་རེད་འདུག་ར མི་འདི་དུག་སློག་ཡག་ལོད་གོན
STT_NS_M0002_0025_180908_to_188282,ཨེ་ནས་འདི་སྒང་ལ་སོ་སོ་གཅིག་པོ་ཡི་གེ་སྦྱང་ཡ་ཡིན་ན་སོ་སོ་གཅིག་པོ་མ་རཱ། སོ་སོའི་རུམ། རུམ་མེཐྀ་ལ་ཡེ་ལྟ་དགོས་རཱ། རུམ། རོགས་པ་ལ་ཡེ་ལྟ་དགོས། རེད་མ་རེད། ང་ཚོ་དུས་ཚོད་གཅིག་པ་འགྲོ་དགོས་བ། རེད་མ་རེད།  ,e nas 'di sgang la so so gcig po yi ge sbyang ya yin na so so gcig po ma rA/_so so'i rum/_rum meth-i la ye lta dgos rA/_rum/_rogs pa la ye lta dgos/_red ma red/_nga tsho dus tshod gcig pa 'gro dgos ba/_red ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0002_0025_180908_to_188282.wav,STT_NS,3,190,7.374,wav16k/STT_NS_M0002_0025_180908_to_188282.wav,ཨེ་ནས་འདིི་སྒང་སོ་སོ་གཅིག་པོ་ཡི་གེ་སྦྱང་ཡ་ཡོད་ན་སོ་སོ་གཅིག་པོ་མ་རེད། སོ་སོ་རོམརོམ་མཊྀ་ལ་ལྟ་དགོས་ར རོགས་པ་ལ་ལྟ་དགོསརེད་མ་རེད། ང་ཚོ་དུས་ཚོད་གཅིག་པ་འགྲོ་དགོས་རེད། རེད་མ་རེད།
STT_NS_M0001_0064_466045_to_472322,ད་མ་གཞི་ནས་། འཁྲུངས་སྐར་ག་འདྲས་བཏང་གི་རེད། ང་མགོ་ཁོ་རང་ཚོད་ཀི་མི་འདུག་དེང་སང་ད་ཡ་ཅིག་ད། ད་ལོ་ག་ཚོད་རེད། ལོ་ལྔ་ཙི་ད་འཁྲུངས་སྐར་གཏོང་ཡ་རག་མེད་རེད་འཛིན་གྲྭ་བཅུ་པ་ནས།  ,da ma gzhi nas /_'khrungs skar ga 'dras btang gi red/_nga mgo kho rang tshod ki mi 'dug deng sang da ya cig da/_da lo ga tshod red/_lo lnga tsi da 'khrungs skar gtong ya rag med red 'dzin grwa bcu pa nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0001_0064_466045_to_472322.wav,STT_NS,3,164,6.277,wav16k/STT_NS_M0001_0064_466045_to_472322.wav,ད་མ་གཞི་ནས་འཁྲུངས་སྐར་ག་འདྲའི་བཏང་གི་ཡོད་ང་མགོ་ཁོ་རང་ཚོས་ཀི་མི་འདུག་་དེང་སང་ད་ཡོད་ཅི་ད་ལོ་ག་ཚོད་རེད་ལོ་ལྔ་སི་ད་འཁྲུངས་སྐར་གཏང་ཡ་རག་མེད་ར་འཛིན་གྲྭ་བཅུ་པ་
STT_NS_M0001_0065_472322_to_478600,བཏང་ཡ་རག་ཡོད་རེད་མ་རཱ། ད་དེའི་གོང་ལ་ད་ད་གང་ཤེས་འཁྲུངས་སྐར་སྐྱིད་པོ་འདྲ་ཡོད་ན། སྔན་མ་སྔན་མ་ང་ཚོ་ཀ་ཅི་ཚོར་བ་དེ་རང་འཇགས་སྤྲད་ཀི་ཡོད་ན།  ,btang ya rag yod red ma rA/_da de'i gong la da da gang shes 'khrungs skar skyid po 'dra yod na/_sngan ma sngan ma nga tsho ka ci tshor ba de rang 'jags sprad ki yod na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0001_0065_472322_to_478600.wav,STT_NS,3,133,6.278,wav16k/STT_NS_M0001_0065_472322_to_478600.wav,བཏང་ཡ་རག་ཡོད་རེད་མ་རེད། ད་ད་སྐབས་ལ་དད་གང་ཤེས་ད་འཁྲུངས་སྐར་སྐྱིད་པོ་འདྲ་བོ་ཡོད་ན་སྔོན་མ་སྔོན་མ་ང་ཚོ་ཀ་ཅི་ཚོར་བ་འདི་རང་འཇགས་སྤྲད་ཀི་ཡོད་ན།
